date,open,high,low,adjClose,value,volume,count,yesterday,close
2020-11-17,900.0,900.0,900.0,900.0,806300100,895889,17,1000.0,900.0
2020-11-18,940.0,940.0,940.0,900.0,2102465100,2236665,80,900.0,940.0
2020-11-21,940.0,940.0,940.0,900.0,1959384880,2084452,83,900.0,940.0
2020-11-22,940.0,940.0,870.0,900.0,3010877110,3226553,203,900.0,940.0
2020-11-23,940.0,940.0,870.0,900.0,4015904350,4514822,178,900.0,880.0
2020-11-24,860.0,870.0,860.0,900.0,1833392780,2130573,80,900.0,860.0
2020-11-25,860.0,860.0,860.0,900.0,257802200,299770,21,900.0,860.0
2020-11-28,860.0,860.0,860.0,900.0,40444080,47028,6,900.0,860.0
2020-11-29,860.0,920.0,860.0,890.0,14449814190,16460186,410,900.0,890.0
2020-11-30,860.0,930.0,850.0,890.0,23621241510,26372039,547,890.0,930.0
2020-12-01,880.0,930.0,880.0,890.0,5468503290,6110123,210,890.0,890.0
2020-12-02,880.0,900.0,870.0,890.0,3352466260,3784692,103,890.0,890.0
2020-12-05,870.0,890.0,860.0,890.0,4071579380,4663976,139,890.0,890.0
2020-12-06,860.0,880.0,850.0,880.0,9438943770,10966374,240,890.0,860.0
2020-12-07,860.0,860.0,840.0,870.0,10408571910,12299757,236,880.0,840.0
2020-12-08,830.0,860.0,830.0,870.0,6155766110,7394432,166,870.0,830.0
2020-12-09,830.0,850.0,830.0,860.0,6836355960,8224442,235,870.0,840.0
2020-12-12,820.0,860.0,820.0,850.0,15661867490,18977874,446,860.0,830.0
2020-12-13,810.0,830.0,810.0,840.0,10704995920,13176882,277,850.0,810.0
2020-12-15,810.0,830.0,790.0,820.0,15346032460,18946638,387,830.0,810.0
2020-12-16,790.0,830.0,780.0,810.0,21951128080,27456492,562,820.0,820.0
2020-12-19,790.0,820.0,770.0,800.0,19572394360,24883948,639,810.0,780.0
2020-12-20,760.0,800.0,760.0,790.0,11520500300,15079924,288,800.0,760.0
2020-12-21,760.0,760.0,760.0,790.0,1511316240,1988574,41,790.0,760.0
2020-12-22,760.0,760.0,760.0,790.0,462356640,608364,29,790.0,760.0
2020-12-23,760.0,760.0,760.0,790.0,225544440,296769,19,790.0,760.0
2020-12-26,760.0,760.0,760.0,790.0,206016240,271074,15,790.0,760.0
2020-12-27,760.0,760.0,760.0,790.0,501340840,659659,18,790.0,760.0
2020-12-28,760.0,760.0,760.0,790.0,170578200,224445,17,790.0,760.0
2020-12-29,760.0,760.0,760.0,790.0,96093640,126439,5,790.0,760.0
2020-12-30,760.0,760.0,760.0,790.0,71893720,94597,4,790.0,760.0
2021-01-02,760.0,760.0,760.0,790.0,100661240,132449,4,790.0,760.0
