tic,date,open,high,low,close,volume,value,count,yesterdayclose
????_??6,20090331,7976.1,7990.9,7976.1,7988.7,31654393,52942793958,4998,7970.3
????_??6,20090404,7989.1,8001.6,7986.6,8001.6,22199439,32905218362,3608,7988.7
????_??6,20090405,7995.6,8006,7994.3,8006,40876741,75090271672,8479,8001.6
????_??6,20090406,8009.5,8049,8009.5,8049,30413756,80346637718,6342,8006
????_??6,20090407,8060.8,8077.9,8060.4,8077.9,37834725,84325579920,6798,8049
????_??6,20090408,8082.4,8111.1,8082.4,8111.1,26395865,61917809306,6302,8077.9
????_??6,20090411,8118.8,8153.5,8117.6,8153.5,23747070,55338639066,5171,8111.1
????_??6,20090412,8174.2,8176,8165.5,8175.9,51329456,2.10596E+11,7117,8153.5
????_??6,20090413,8189.6,8203.6,8189.6,8203.6,57739444,1.19111E+11,11024,8175.9
????_??6,20090414,8236,8252.5,8236,8252.4,73334747,1.29676E+11,9215,8203.6
????_??6,20090415,8246.9,8261.7,8246.9,8251.6,39761013,68522264539,5799,8252.4
????_??6,20090418,8251.2,8290.4,8251.2,8290.4,63018011,1.38396E+11,8493,8251.6
????_??6,20090419,8306.2,8348,8306.2,8348,71853075,1.20801E+11,13655,8290.4
????_??6,20090420,8351.3,8431.2,8351.3,8431.2,99531564,1.6911E+11,17686,8348
????_??6,20090421,8434.2,8436.3,8434.2,8434.9,16217968,28674660317,3635,8431.2
????_??6,20090422,8457.6,8485.4,8457.6,8476.4,81308188,1.31972E+11,18476,8434.9
????_??6,20090425,8490.3,8497.9,8468.4,8469.1,62495536,99574222323,12085,8476.4
????_??6,20090426,8470.1,8523.2,8470.1,8502.6,62867611,1.78264E+11,15365,8469.1
????_??6,20090427,8503,8521,8503,8518.1,54260348,1.18411E+11,10034,8502.6
????_??6,20090428,8533.5,8533.7,8526.8,8527.8,121128789,1.89275E+11,17883,8518.1
????_??6,20090429,8546.9,8546.9,8533.3,8535,40967613,1.08547E+11,8556,8527.8
????_??6,20090502,8546.3,8551.6,8517.2,8548.3,48290510,84114742214,10049,8535
????_??6,20090503,8557,8595.2,8557,8584.6,56880538,1.041E+11,11594,8548.3
????_??6,20090504,8624.9,8638.8,8624,8638.3,58462401,1.07202E+11,11923,8584.6
????_??6,20090505,8692.9,8702.5,8692.9,8699.5,76206622,1.9378E+11,13534,8638.3
????_??6,20090506,8743.1,8774.2,8743.1,8774.2,48955870,1.31257E+11,9669,8699.5
????_??6,20090509,8830.2,8872.4,8830.2,8872.4,45697465,1.10503E+11,9463,8774.2
????_??6,20090510,8878,8930.4,8878,8930.4,59449003,1.62843E+11,10225,8872.4
????_??6,20090511,8982.6,8989.9,8975.3,8989.5,211609077,3.88695E+11,22842,8930.4
????_??6,20090512,8988.5,8995.9,8965.7,8968.3,128913971,2.60627E+11,16213,8989.5
????_??6,20090513,8938,8938,8924.5,8932.1,90427284,1.63466E+11,13390,8968.3
????_??6,20090516,8922.7,8923.4,8882.9,8888,77885285,1.55145E+11,10597,8932.1
????_??6,20090517,8896.1,8933.2,8858.4,8919.4,80567706,1.58506E+11,10802,8888
????_??6,20090518,8930.2,8966.9,8930.2,8963.8,58056462,1.20932E+11,9402,8919.4
????_??6,20090519,8969.1,8978.2,8956.3,8956.3,220321066,3.5973E+11,15618,8963.8
????_??6,20090520,8968.2,9006,8968.2,9000.8,140575850,2.26995E+11,11814,8956.3
????_??6,20090523,9000.9,9042.8,9000.9,9042.1,50508722,78821042506,8189,9000.8
????_??6,20090524,9050.7,9051.7,9016.3,9019.5,195181149,2.88224E+11,15015,9042.1
????_??6,20090525,9017.2,9017.2,8971.1,8971.1,100958459,1.63678E+11,10577,9019.5
????_??6,20090526,8967.2,8967.2,8934.6,8934.6,110291336,1.79114E+11,10360,8971.1
????_??6,20090527,8937,8953.7,8937,8953.7,43891861,1.13498E+11,7264,8934.6
????_??6,20090530,8956.9,9001.9,8956.9,9001.3,61796820,1.09042E+11,9701,8953.7
????_??6,20090531,9002.5,9013,8998.2,9000.6,78904182,1.37277E+11,10345,9001.3
????_??6,20090601,9007.7,9013.2,9000.8,9006.3,89171028,1.61464E+11,9913,9000.6
????_??6,20090602,9011.9,9032.6,9010.4,9032.3,63475940,1.07873E+11,10531,9006.3
????_??6,20090603,9048.8,9082.4,9048.6,9081.7,69872316,1.22599E+11,9307,9032.3
????_??6,20090606,9104,9123,9104,9121.3,105222195,1.98689E+11,11913,9081.7
????_??6,20090607,9146.1,9195.2,9143.9,9195.1,130893227,2.58564E+11,12754,9121.3
????_??6,20090608,9199.2,9236.6,9199.2,9235.5,74538651,1.61368E+11,9000,9195.1
????_??6,20090609,9240,9280.1,9240,9278.5,51482053,92371535168,9496,9235.5
????_??6,20090610,9299.7,9343.3,9299.7,9343.3,109826144,1.52744E+11,12131,9278.5
????_??6,20090613,9366.9,9384.7,9365.4,9365.4,213973005,3.13894E+11,19435,9343.3
????_??6,20090614,9370.8,9370.8,9310.3,9310.3,129127083,2.10251E+11,12130,9365.4
????_??6,20090615,9310.1,9310.1,9299,9299,81531960,1.00033E+11,10344,9310.3
????_??6,20090616,9295.6,9295.6,9270.8,9271.1,50257544,75307770668,5615,9299
????_??6,20090617,9266.2,9266.2,9247.2,9247.2,50503100,82259449645,8432,9271.1
????_??6,20090620,9245.7,9249.8,9242.3,9247.7,26358824,50691305664,4549,9247.2
????_??6,20090621,9252.1,9258.5,9248.1,9258.4,30161849,62064519626,6676,9247.7
????_??6,20090622,9262.2,9264.2,9249.6,9251.8,69662800,1.17194E+11,9938,9258.4
????_??6,20090623,9253.6,9342.7,9253.6,9340,86919859,1.9286E+11,8902,9251.8
????_??6,20090624,9340.2,9349.2,9338.1,9338.6,76545730,1.16417E+11,8747,9340
????_??6,20090627,9338.1,9342.9,9337.5,9342.6,91722450,1.29918E+11,19229,9338.6
????_??6,20090628,9340.3,9360.7,9340.3,9353.7,99694125,1.6322E+11,19301,9342.6
????_??6,20090629,9356.7,9364.1,9356.4,9360.1,58011166,1.17739E+11,13076,9353.7
????_??6,20090630,9366.2,9387.9,9365.2,9387.6,45911056,90888991874,10780,9360.1
????_??6,20090701,9397.7,9480,9397.7,9471,65592895,1.31382E+11,12458,9387.6
????_??6,20090704,9472.6,9486,9470.4,9470.4,62686622,1.05233E+11,9325,9471
????_??6,20090705,9457.8,9463.9,9452.7,9452.7,75997798,1.64385E+11,11073,9470.4
????_??6,20090707,9456.1,9463.1,9456.1,9457.9,35183732,85749989976,5488,9452.7
????_??6,20090711,9461.8,9465.4,9438.4,9438.5,65364787,1.11028E+11,9021,9457.9
????_??6,20090712,9436.8,9441.9,9415.8,9415.8,114059556,1.82353E+11,9817,9438.5
????_??6,20090713,9415.8,9416.2,9349,9352.8,72358357,1.73183E+11,10942,9415.8
????_??6,20090714,9354.2,9379.2,9354.2,9374,177804729,2.46999E+11,10625,9352.8
????_??6,20090715,9375.4,9401.1,9375.4,9394.6,202567911,2.88772E+11,8106,9374
????_??6,20090718,9403.4,9442.4,9403.4,9442.2,139355749,1.90371E+11,4786,9394.6
????_??6,20090719,9443.7,9474.6,9443.6,9474.5,39350571,76426729706,5682,9442.2
????_??6,20090721,9478.7,9511.1,9475.1,9511.1,28961704,56673709641,5560,9474.5
????_??6,20090722,9519.2,9525.4,9519.2,9522.2,27516369,60966210758,5219,9511.1
????_??6,20090725,9521.7,9524.2,9521.1,9522.9,32346070,50708800321,4321,9522.2
????_??6,20090726,9523.5,9563.4,9523,9530.3,122922718,1.61037E+11,11494,9522.9
????_??6,20090727,9529.8,9703.7,9520.5,9703.7,115285756,1.71941E+11,11090,9530.3
????_??6,20090728,9723,9731.6,9722.4,9727.1,138017171,2.06124E+11,10818,9703.7
????_??6,20090729,9733.3,9767.8,9733.3,9765.6,332737281,4.6298E+11,18869,9727.1
????_??6,20090801,9777.6,9812,9777.6,9811.2,94924309,1.70486E+11,9895,9765.6
????_??6,20090802,9819.3,9831.4,9819.3,9831.2,86135765,1.53645E+11,12067,9811.2
????_??6,20090803,9835.7,9838.9,9834,9835,97627341,1.6788E+11,10993,9831.2
????_??6,20090804,9834.7,9864.7,9833.8,9861.1,172813144,3.7285E+11,27658,9835
????_??6,20090805,9863.8,9905,9863.8,9904.4,108321647,2.95334E+11,11989,9861.1
????_??6,20090808,9910.4,9999,9910.4,9999,76802541,1.57291E+11,11405,9904.4
????_??6,20090809,10002.1,10044,10002.1,10044,80305952,1.59701E+11,9483,9999
????_??6,20090810,10048.3,10117.6,10048.3,10114.2,239373686,5.2895E+11,28001,10044
????_??6,20090811,10130.7,10141.6,10127.6,10139.4,113829065,2.2649E+11,16540,10114.2
????_??6,20090812,10145.5,10194.2,10145.5,10194,137382159,2.65988E+11,13887,10139.4
????_??6,20090815,10208.7,10251.2,10208.7,10250.8,53454012,1.44069E+11,8932,10194
????_??6,20090816,10294.2,10333.5,10294.2,10333.2,210564541,4.63675E+11,21595,10250.8
????_??6,20090817,10337.1,10405.4,10337.1,10405.4,143724492,3.26826E+11,16773,10333.2
????_??6,20090818,10426.3,10449.1,10426.3,10442.5,148140002,3.07396E+11,16934,10405.4
????_??6,20090819,10462.7,10476.3,10462.7,10472.4,87213292,2.01256E+11,10660,10442.5
????_??6,20090822,10488.9,10555.4,10488.9,10555.4,63635334,1.39236E+11,10031,10472.4
????_??6,20090823,10562.5,10612.2,10562.5,10612.2,99642607,2.18238E+11,11507,10555.4
????_??6,20090824,10626.1,10686.1,10626.1,10686.1,115415531,2.80692E+11,13961,10612.2
????_??6,20090825,10699.6,10983.9,10699.6,10983.6,319262052,7.86421E+11,28753,10686.1
????_??6,20090826,11013.3,11730,11013.3,11576.9,256256081,6.38557E+11,25270,10983.6
????_??6,20090829,11624.9,11738.1,11598.1,11734.4,343162726,1.34576E+12,36159,11576.9
????_??6,20090830,11741,11747.7,11691.8,11693.5,143905612,3.47505E+11,19887,11734.4
????_??6,20090831,11693.1,11694.2,11663.4,11688.3,267124976,1.11706E+12,25732,11693.5
????_??6,20090901,11695.8,11741,11695.8,11741,116253824,2.86078E+11,15953,11688.3
????_??6,20090902,11756.9,11762.1,11746.4,11747.2,115841451,2.63042E+11,17274,11741
????_??6,20090905,11750.8,11750.9,11652.9,11678.5,134673546,3.29368E+11,21572,11747.2
????_??6,20090906,11673.9,11673.9,11634.3,11634.5,95644468,2.16737E+11,15352,11678.5
????_??6,20090907,11615.9,11615.9,11573.7,11589.7,55905816,1.37319E+11,9064,11634.5
????_??6,20090908,11601.6,11639,11598.4,11639,78097448,1.80561E+11,14253,11589.7
????_??6,20090909,11643,11701.7,11643,11696.5,84503364,1.83055E+11,13783,11639
????_??6,20090912,11648.1,11696.5,11696.5,11696.5,0,0,0,11696.5
????_??6,20090913,11657.1,11657.1,11638.4,11638.4,58475997,1.2777E+11,9548,11696.5
????_??6,20090914,11582,11604.8,11580.9,11598.7,151227850,2.75085E+11,16248,11638.4
????_??6,20090915,11593.9,11593.9,11523.6,11523.6,63513935,1.41905E+11,9558,11598.7
????_??6,20090916,11468.1,11468.7,11460.6,11461.1,58939201,1.27505E+11,9292,11523.6
????_??6,20090919,11461.1,11461.1,11412.5,11437,104230275,2.93774E+11,8759,11461.1
????_??6,20090921,11437,11452.8,11436.6,11451.8,111222842,2.00081E+11,9854,11437
????_??6,20090922,11402.8,11479.8,11402.8,11479.8,228032424,5.84614E+11,22139,11451.8
????_??6,20090923,11491.3,11583,11491.3,11583,92689350,2.12118E+11,12733,11479.8
????_??6,20090926,11625.3,11633.4,11620.4,11620.4,203580538,3.97897E+11,19935,11583
????_??6,20090927,11676.6,11676.6,11588.2,11588.2,168217494,3.52124E+11,18546,11620.4
????_??6,20090928,11586.7,11586.7,11559.1,11559.1,95153987,2.02695E+11,15794,11588.2
????_??6,20090929,11573.4,11599.3,11553.4,11555,97085462,1.99461E+11,12779,11559.1
????_??6,20090930,11558.7,11567.2,11531.4,11535.8,100599468,2.05367E+11,14439,11555
????_??6,20091003,11574.5,11657.3,11574.5,11657.3,123364127,2.49785E+11,18251,11535.8
????_??6,20091004,11679.6,11733.4,11679.6,11717.3,224368884,4.96238E+11,28354,11657.3
????_??6,20091005,11728.7,11738.2,11728.7,11738.2,163666703,3.61159E+11,19074,11717.3
????_??6,20091006,11760,11792.8,11737.4,11792.8,162739488,3.47175E+11,16682,11738.2
????_??6,20091007,11822.3,11891.1,11822.3,11891.1,135981973,4.10386E+11,16464,11792.8
????_??6,20091010,11920.8,11962.5,11920.8,11957.9,174881498,4.43248E+11,19096,11891.1
????_??6,20091011,11963.3,11963.9,11925.2,11925.4,268445276,6.41119E+11,32174,11957.9
????_??6,20091012,11940.3,11940.3,11912.3,11912.3,266983782,6.87278E+11,29229,11925.4
????_??6,20091013,11900.4,11927.6,11893.6,11918.3,195138366,5.48829E+11,24529,11912.3
????_??6,20091017,11923.9,11924.6,11905.6,11917.8,93096167,2.66688E+11,12256,11918.3
????_??6,20091018,11927.1,11927.4,11914.1,11914.1,150217105,4.22004E+11,19960,11917.8
????_??6,20091019,11919.9,11977.1,11919.9,11976.4,733693184,1.0109E+12,14857,11914.1
????_??6,20091020,12012,12077.3,12012,12077.3,195831153,3.36806E+11,17401,11976.4
????_??6,20091021,12111.2,12177.6,12111.2,12176.3,123466088,2.98354E+11,15320,12077.3
????_??6,20091024,12200.3,12243.6,12200.3,12242.8,173731148,4.5233E+11,24052,12176.3
????_??6,20091025,12267,12325.8,12266.3,12325.8,143500650,3.80064E+11,15880,12242.8
????_??6,20091026,12325.5,12342.6,12308.9,12342.6,316888496,8.00755E+11,29944,12325.8
????_??6,20091027,12354.9,12356,12328.4,12345.1,146043758,3.60378E+11,19267,12342.6
????_??6,20091028,12348.2,12408.4,12342.9,12408.4,143371148,3.74298E+11,17182,12345.1
????_??6,20091031,12427.9,12491.2,12427.9,12482.4,117885944,3.1099E+11,14390,12408.4
????_??6,20091101,12505.6,12545,12505.6,12545,142239650,3.31175E+11,18895,12482.4
????_??6,20091102,12529.3,12537.9,12515.5,12529.5,353981617,8.12275E+11,40935,12545
????_??6,20091103,12514.6,12514.6,12483.6,12483.6,146879227,4.63326E+11,11456,12529.5
????_??6,20091104,12494.4,12531.3,12477,12506,178275406,4.71376E+11,12586,12483.6
????_??6,20091107,12524.8,12581.5,12524.8,12576.9,143771292,3.64521E+11,9286,12506
????_??6,20091108,12584.5,12584.5,12547.2,12565.9,272878479,5.73278E+11,14702,12576.9
????_??6,20091109,12593.9,12633.6,12581.5,12581.5,180012897,3.66064E+11,10404,12565.9
????_??6,20091110,12566.2,12566.2,12426.1,12426.1,120574061,2.70938E+11,8184,12581.5
????_??6,20091111,12417.8,12423.5,12379.2,12381.4,173085005,3.68401E+11,10851,12426.1
????_??6,20091114,12416.9,12442.1,12402.7,12403.1,118169715,2.60848E+11,8049,12381.4
????_??6,20091115,12432.3,12441.9,12361.7,12361.7,179667661,3.5747E+11,10419,12403.1
????_??6,20091116,12372.6,12373.2,12325.3,12325.4,141351286,2.73133E+11,9301,12361.7
????_??6,20091117,12319.6,12319.6,12241.5,12241.9,207081137,3.63947E+11,11610,12325.4
????_??6,20091118,12231.8,12231.8,12174,12176.4,109837906,2.32212E+11,7979,12241.9
????_??6,20091121,12175.3,12175.3,12086.7,12086.7,95913578,2.10228E+11,10912,12176.4
????_??6,20091122,12065,12065,12003,12003,70603627,1.73925E+11,6728,12086.7
????_??6,20091123,11982.9,11996.4,11976.3,11996.3,168924731,3.10357E+11,11189,12003
????_??6,20091124,12002.3,12072.6,12002.3,12072.6,110786502,3.2962E+11,8648,11996.3
????_??6,20091125,12083.9,12125.1,12083.9,12113.4,199777729,5.15541E+11,12945,12072.6
????_??6,20091129,12104.9,12104.9,12027.6,12027.6,46862742,1.05977E+11,4461,12113.4
????_??6,20091130,12013.3,12013.3,11964.8,11964.9,45709448,1.04284E+11,4114,12027.6
????_??6,20091201,11955,11957.8,11928.9,11928.9,90285138,2.53097E+11,5456,11964.9
????_??6,20091202,11922.9,11937.5,11914.6,11914.6,174708614,4.93998E+11,7348,11928.9
????_??6,20091205,11903.4,11905,11901.3,11905,45420003,91061171475,4252,11914.6
????_??6,20091207,11913.8,11946.4,11913.8,11944.5,74558639,1.86525E+11,7445,11905
????_??6,20091208,11946,11948,11909.6,11909.6,49420338,1.08133E+11,4730,11944.5
????_??6,20091209,11908.4,11908.4,11836.1,11836.3,62245083,1.30997E+11,5377,11909.6
????_??6,20091212,11827.1,11827.1,11753.1,11753.1,58909129,1.24136E+11,4255,11836.3
????_??6,20091213,11731,11731,11677.4,11677.4,67076167,1.56801E+11,5877,11753.1
????_??6,20091214,11670.6,11674,11629,11629.1,51705628,1.15972E+11,4408,11677.4
????_??6,20091215,11608,11608,11359.4,11362.5,57535901,1.40926E+11,5200,11629.1
????_??6,20091216,11352.2,11352.2,11254.7,11265.3,65160799,1.39604E+11,5058,11362.5
????_??6,20091219,11226.6,11226.6,11195.8,11209.6,63701196,1.6178E+11,4999,11265.3
????_??6,20091220,11205,11255.7,11201.3,11255.7,119924118,2.08266E+11,6192,11209.6
????_??6,20091221,11277.6,11289.5,11243.6,11274.9,111043421,2.43545E+11,6151,11255.7
????_??6,20091222,11276.4,11277,11234.6,11234.6,90768639,2.07587E+11,6234,11274.9
????_??6,20091223,11223.5,11229.8,11220.1,11221.3,72087840,1.3705E+11,5062,11234.6
????_??6,20091228,11223.8,11228.5,11196.9,11196.9,50090757,1.06537E+11,4173,11221.3
????_??6,20091229,11195.6,11195.6,11178.5,11178.5,47204550,91379522417,4212,11196.9
????_??6,20091230,11180.1,11207.5,11180.1,11207.5,49605347,1.02951E+11,4928,11178.5
????_??6,20100102,11208.5,11295.2,11208.5,11295.2,60896653,1.12581E+11,4192,11207.5
????_??6,20100103,11323.3,11366.2,11323.3,11351.1,114461675,2.25215E+11,7601,11295.2
????_??6,20100104,11346.5,11346.5,11305.1,11305.1,61449150,1.57219E+11,8257,11351.1
????_??6,20100105,11301.8,11325.5,11301.8,11307.4,71811764,1.28535E+11,6104,11305.1
????_??6,20100106,11318.9,11375.4,11318.9,11375.4,99254905,1.98037E+11,6953,11307.4
????_??6,20100109,11379.6,11449.7,11379.6,11449.6,429407966,6.11392E+11,4814,11375.4
????_??6,20100110,11478.1,11592.6,11478.1,11592.3,223412973,5.06518E+11,15888,11449.6
????_??6,20100111,11595.3,11658.9,11591,11656.8,124379073,3.01978E+11,9981,11592.3
????_??6,20100112,11683.7,11685.4,11646.2,11646.2,103456954,2.14368E+11,7933,11656.8
????_??6,20100113,11644,11644,11598.4,11599.9,92521763,2.21911E+11,5877,11646.2
????_??6,20100116,11601.8,11625.3,11601.8,11614.9,98448731,2.00235E+11,6142,11599.9
????_??6,20100117,11627,11640.3,11620.7,11620.7,78153960,1.67572E+11,6987,11614.9
????_??6,20100118,11619,11619,11584,11584,45248638,98565614547,4815,11620.7
????_??6,20100119,11587.6,11587.6,11567.9,11569.2,44018920,1.03316E+11,4730,11584
????_??6,20100120,11567.8,11572.9,11566.8,11569.2,58259151,1.20848E+11,6432,11569.2
????_??6,20100123,11569.8,11617.9,11569.8,11617.8,73506264,1.54965E+11,6707,11569.2
????_??6,20100124,11627.2,11685.5,11627.2,11684.9,93333057,1.8561E+11,7824,11617.8
????_??6,20100125,11699.3,11720.6,11699.3,11705.1,445619815,6.12772E+11,6249,11684.9
????_??6,20100126,11710.7,11769.2,11710.7,11752.5,107587956,1.94159E+11,7405,11705.1
????_??6,20100127,11763.7,11810.1,11763.7,11802.9,119204547,2.05643E+11,7123,11752.5
????_??6,20100130,11775.9,11775.9,11736.4,11750.1,112657334,2.32812E+11,7741,11802.9
????_??6,20100131,11749.8,11751.4,11724.7,11724.7,237608985,3.91252E+11,6773,11750.1
????_??6,20100201,11727.2,11730,11709.6,11709.6,88697347,2.4185E+11,7526,11724.7
????_??6,20100202,11719.3,11724.4,11719.3,11721.3,60425186,1.33779E+11,5415,11709.6
????_??6,20100203,11737.1,11763.2,11737.1,11751.7,73980704,1.46796E+11,5801,11721.3
????_??6,20100206,11751.5,11751.5,11715.5,11715.5,73631665,1.20823E+11,5360,11751.7
????_??6,20100207,11704.3,11708.3,11686.1,11686.3,96447538,2.38906E+11,7497,11715.5
????_??6,20100208,11684.4,11684.4,11666.7,11666.8,85408487,1.56592E+11,7076,11686.3
????_??6,20100209,11664.6,11669.4,11660.6,11660.7,60620921,1.12253E+11,5586,11666.8
????_??6,20100210,11663.8,11694.7,11663.8,11694.1,85678765,1.9089E+11,7920,11660.7
????_??6,20100214,11696.4,11760.9,11696.4,11760,83930214,1.51238E+11,5903,11694.1
????_??6,20100216,11786,11826.5,11782.6,11789.7,117257984,2.6005E+11,8909,11760
????_??6,20100217,11787.7,11787.7,11774.2,11774.2,108357032,2.44384E+11,8528,11789.7
????_??6,20100220,11777.5,11822.3,11777.5,11819,112804664,2.29237E+11,7323,11774.2
????_??6,20100221,11834,11931.4,11834,11929,112394672,2.66623E+11,7913,11819
????_??6,20100222,11950.4,12008.6,11950.4,12008.6,245334910,4.99101E+11,13844,11929
????_??6,20100223,12027.5,12028,12010.2,12010.2,164816248,3.95958E+11,9912,12008.6
????_??6,20100224,12004.8,12004.8,11991.6,11993.2,99471983,2.16025E+11,8493,12010.2
????_??6,20100227,11982.9,11982.9,11962.8,11963.5,75002420,1.75001E+11,7080,11993.2
