,date,open,high,low,close,volume,tic,day
0,2018-01-02,5400.0,5410.0,5330.0,5389.0,99180,بترانس,1
1,2018-01-02,8240.0,8240.0,8240.0,8240.0,241,بسويچ,1
2,2018-01-02,3638.0,3645.0,3435.0,3500.0,45828,بموتو,1
3,2018-01-02,2138.0,2138.0,2015.0,2020.0,111912,تكنو,1
4,2018-01-02,2420.0,2420.0,2222.0,2313.0,15203,تپمپي,1
5,2018-01-02,1470.0,1519.0,1350.0,1367.0,1192530,ثتوسا,1
6,2018-01-02,2412.0,2530.0,2410.0,2410.0,483736,ثفارس,1
7,2018-01-02,2849.0,2849.0,2750.0,2750.0,487906,حتايد,1
8,2018-01-02,1675.0,1675.0,1550.0,1600.0,825256,حتوكا,1
9,2018-01-02,3727.0,3780.0,3716.0,3780.0,90369,حكشتي,1
10,2018-01-02,1128.0,1130.0,1100.0,1121.0,3229465,خبهمن,1
11,2018-01-02,689.0,700.0,674.0,678.0,10265939,خزاميا,1
12,2018-01-02,980.0,985.0,953.0,956.0,41158208,خساپا,1
13,2018-01-02,1592.0,1592.0,1513.0,1539.0,2161172,خمحركه,1
14,2018-01-02,830.0,830.0,815.0,818.0,17855737,خپارس,1
15,2018-01-02,1519.0,1530.0,1470.0,1470.0,546428,خچرخش,1
16,2018-01-02,2870.0,2960.0,2772.0,2850.0,2442583,خگستر,1
17,2018-01-02,16600.0,16667.0,16374.0,16374.0,73281,داسوه,1
18,2018-01-02,8000.0,8099.0,7850.0,8000.0,124327,دالبر,1
19,2018-01-02,5600.0,5600.0,5530.0,5600.0,3073,دجابر,1
20,2018-01-02,18520.0,18520.0,18520.0,18520.0,2222,دزهراوي,1
21,2018-01-02,3485.0,3580.0,3483.0,3501.0,832777,دسبحا,1
22,2018-01-02,18110.0,18110.0,18110.0,18110.0,1208,دسينا,1
23,2018-01-02,4706.0,4706.0,4673.0,4673.0,1310,دفارا,1
24,2018-01-02,4042.0,4042.0,3857.0,3980.0,165083,دلر,1
25,2018-01-02,9603.0,9700.0,9603.0,9603.0,33679,دپارس,1
26,2018-01-02,788.0,788.0,743.0,753.0,2445607,سدور,1
27,2018-01-02,1171.0,1260.0,1165.0,1167.0,40180,سشمال,1
28,2018-01-02,3131.0,3131.0,3005.0,3005.0,974099,پتاير,1
29,2018-01-02,830.0,854.0,810.0,810.0,2846008,پلاسك,1
30,2018-01-03,5389.0,5410.0,5327.0,5379.0,151988,بترانس,2
31,2018-01-03,7711.0,7711.0,7710.0,7710.0,3070,بسويچ,2
32,2018-01-03,3490.0,3630.0,3490.0,3530.0,27181,بموتو,2
33,2018-01-03,2020.0,2063.0,1990.0,2020.0,299008,تكنو,2
34,2018-01-03,2242.0,2242.0,2242.0,2242.0,1000,تپمپي,2
35,2018-01-03,1312.0,1441.0,1312.0,1391.0,704868,ثتوسا,2
36,2018-01-03,2402.0,2500.0,2315.0,2351.0,839143,ثفارس,2
37,2018-01-03,2701.0,2759.0,2670.0,2745.0,58109,حتايد,2
38,2018-01-03,1620.0,1620.0,1506.0,1511.0,1452923,حتوكا,2
39,2018-01-03,3712.0,3768.0,3710.0,3768.0,189505,حكشتي,2
40,2018-01-03,1128.0,1134.0,1098.0,1100.0,1611871,خبهمن,2
41,2018-01-03,683.0,687.0,670.0,678.0,11677920,خزاميا,2
42,2018-01-03,969.0,972.0,933.0,967.0,67758836,خساپا,2
43,2018-01-03,1500.0,1520.0,1456.0,1501.0,1965196,خمحركه,2
44,2018-01-03,820.0,830.0,798.0,820.0,22996856,خپارس,2
45,2018-01-03,1480.0,1489.0,1440.0,1450.0,752946,خچرخش,2
46,2018-01-03,2849.0,2910.0,2785.0,2811.0,3843737,خگستر,2
47,2018-01-03,16666.0,17190.0,16301.0,16500.0,70080,داسوه,2
48,2018-01-03,8045.0,8045.0,7842.0,7920.0,14825,دالبر,2
49,2018-01-03,5689.0,5689.0,5514.0,5517.0,4674,دجابر,2
50,2018-01-03,18498.0,18498.0,18498.0,18498.0,561,دزهراوي,2
51,2018-01-03,3501.0,3540.0,3400.0,3480.0,352940,دسبحا,2
52,2018-01-03,18110.0,18110.0,18110.0,18110.0,1208,دسينا,2
53,2018-01-03,4671.0,4671.0,4671.0,4671.0,3598,دفارا,2
54,2018-01-03,3950.0,3950.0,3810.0,3920.0,150619,دلر,2
55,2018-01-03,9418.0,9422.0,9418.0,9418.0,19581,دپارس,2
56,2018-01-03,780.0,780.0,753.0,753.0,1507756,سدور,2
57,2018-01-03,1181.0,1210.0,1155.0,1155.0,460577,سشمال,2
58,2018-01-03,2869.0,2920.0,2869.0,2897.0,1707154,پتاير,2
59,2018-01-03,817.0,820.0,779.0,805.0,5854907,پلاسك,2
60,2018-01-04,5389.0,5410.0,5327.0,5379.0,151988,بترانس,3
61,2018-01-04,7711.0,7711.0,7710.0,7710.0,3070,بسويچ,3
62,2018-01-04,3490.0,3630.0,3490.0,3530.0,27181,بموتو,3
63,2018-01-04,2020.0,2063.0,1990.0,2020.0,299008,تكنو,3
64,2018-01-04,2242.0,2242.0,2242.0,2242.0,1000,تپمپي,3
65,2018-01-04,1312.0,1441.0,1312.0,1391.0,704868,ثتوسا,3
66,2018-01-04,2402.0,2500.0,2315.0,2351.0,839143,ثفارس,3
67,2018-01-04,2701.0,2759.0,2670.0,2745.0,58109,حتايد,3
68,2018-01-04,1620.0,1620.0,1506.0,1511.0,1452923,حتوكا,3
