,date,tic,open,high,low,close,volume,value,count,yesterday,code,name_en,name,date_jalali,last,stopped,b_queue,s_queue,day,log_volume,change,daily_variance
19,2018-01-29,بسويچ,2242.87,2243.0,2188.0,2178.06,2472.0,19653154.0,4.0,2178.0,SWIC,Pars Switch-a,پارس‌سويچ‌-ت,13961109.0,2188.03,False,False,False,2,15.49897266990041,-0.029755837763881594,0.02525182960983628
19,2018-01-29,بموتو,2637.81,2674.0,2614.0,2663.03,41159.0,142612844.0,22.0,2666.0,MOTJ,Motogen-a,موتوژن‌-ت,13961109.0,2658.44,False,False,False,2,18.512417745460915,0.009470415278836608,0.022530726277961568
19,2018-01-29,پتاير,71.28,72.0,71.0,71.28,844174.0,2382439584.0,162.0,72.0,TAIR,Iran Tire-a,ايران‌_تاير-ت,13961109.0,70.75,False,False,False,2,17.912729696629803,0.0,0.014029180695847363
19,2018-01-29,پلاسك,796.95,797.0,782.0,788.0,2056631.0,1631372258.0,260.0,801.0,PLKK,Plascokar Saipa-a,پلاسكوكار-ت,13961109.0,785.02,False,False,False,2,21.206077854943658,-0.011357868020304626,0.01903553299492386
20,2018-01-30,بترانس,493.13,493.0,488.0,493.22,195594.0,1050436025.0,88.0,493.0,TRNS,S*Iran Transfo-a,ايران‌_ترانسفو-ت,13961110.0,492.31,False,False,False,3,18.38475168323415,0.00018247435221611417,0.010137464012002757
20,2018-01-30,بسويچ,2188.3,2216.0,2188.0,2178.06,264.0,2111010.0,2.0,2178.0,SWIC,Pars Switch-a,پارس‌سويچ‌-ت,13961110.0,2215.72,False,False,False,3,13.262138954469144,-0.004701431549176899,0.012855476892280287
20,2018-01-30,بموتو,2663.79,2674.0,2652.0,2666.85,88555.0,309856593.0,25.0,2663.0,MOTJ,Motogen-a,موتوژن‌-ت,13961110.0,2673.73,False,False,False,3,19.280032386521423,0.001147421114798337,0.00824943285149146
20,2018-01-30,پتاير,71.0,73.0,71.0,71.2,379107.0,1068860455.0,83.0,71.0,TAIR,Iran Tire-a,ايران‌_تاير-ت,13961110.0,71.48,False,False,False,3,17.1110665845369,0.0028089887640449836,0.028089887640449437
20,2018-01-30,پلاسك,804.89,809.0,786.0,798.93,1430407.0,1149493390.0,222.0,788.0,PLKK,Plascokar Saipa-a,پلاسكوكار-ت,13961110.0,792.97,False,False,False,3,20.85674290954188,-0.007459977720200814,0.028788504624935853
21,2018-01-31,بترانس,494.78,495.0,486.0,493.13,98023.0,525778654.0,72.0,493.0,TRNS,S*Iran Transfo-a,ايران‌_ترانسفو-ت,13961111.0,493.22,False,False,False,4,17.69373025495968,-0.003345973678340351,0.018250765518220347
21,2018-01-31,بسويچ,2188.3,2216.0,2188.0,2178.61,3000.0,23802000.0,3.0,2178.0,SWIC,Pars Switch-a,پارس‌سويچ‌-ت,13961111.0,2215.72,False,False,False,4,15.692809905391794,-0.0044477901046998105,0.01285223146868875
21,2018-01-31,بموتو,2614.12,2621.0,2613.0,2660.74,34461.0,118001217.0,26.0,2667.0,MOTJ,Motogen-a,موتوژن‌-ت,13961111.0,2613.36,False,False,False,4,18.33394308738879,0.017521441403519283,0.0030066823515262674
21,2018-01-31,پتاير,71.99,73.0,71.0,71.15,344150.0,969490387.0,91.0,71.0,TAIR,Iran Tire-a,ايران‌_تاير-ت,13961111.0,70.52,False,False,False,4,17.013623212362372,-0.011806043569922545,0.028109627547434995
21,2018-01-31,پلاسك,800.92,809.0,793.0,798.93,2642459.0,2124734263.0,260.0,799.0,PLKK,Plascokar Saipa-a,پلاسكوكار-ت,13961111.0,807.88,False,False,False,4,21.470493813412393,-0.0024908314871140264,0.020026785826042334
