"H1","datadate","tic","prccd","ajexdi","prcod","prchd","prcld","cshtrd"
"79653","20090102","RTX","54.95","1.0","53.46","55.24","53.03","4689271.0"
"79654","20090105","RTX","54.3","1.0","54.32","54.98","53.8","5462206.0"
"79655","20090106","RTX","54.88","1.0","54.6","55.51","54.1","5159825.0"
"79656","20090107","RTX","53.52","1.0","53.65","53.91","52.84","5804211.0"
"79657","20090108","RTX","53.51","1.0","53.17","53.76","52.77","5972236.0"
"79658","20090109","RTX","52.7","1.0","53.85","54.0","52.55","4423938.0"
"79659","20090112","RTX","52.36","1.0","52.67","53.12","52.0","4525688.0"
"79660","20090113","RTX","50.8","1.0","52.08","52.57","50.3","6984108.0"
"79661","20090114","RTX","50.03","1.0","49.9","50.5","49.25","5923339.0"
"79662","20090115","RTX","49.69","1.0","50.03","50.51","48.18","6364298.0"
"79663","20090116","RTX","51.1","1.0","50.55","51.5","49.62","8183435.0"
"79664","20090120","RTX","49.36","1.0","50.9","51.25","49.15","7850602.0"
"79665","20090121","RTX","49.25","1.0","49.59","49.89","47.19","11964480.0"
"79666","20090122","RTX","48.95","1.0","48.66","49.35","47.74","7861755.0"
"79667","20090123","RTX","47.41","1.0","47.45","48.15","46.94","6223636.0"
"79668","20090126","RTX","48.67","1.0","47.9","49.43","47.49","6420348.0"
"79669","20090127","RTX","49.24","1.0","49.26","49.845","48.53","5056878.0"
"79670","20090128","RTX","50.66","1.0","49.44","51.07","49.44","5061933.0"
"79671","20090129","RTX","48.68","1.0","50.0","50.19","48.5","6158654.0"
"79672","20090130","RTX","47.99","1.0","48.74","49.85","47.35","6782974.0"
"79673","20090202","RTX","47.54","1.0","47.26","48.17","46.94","6236477.0"
"79674","20090203","RTX","48.31","1.0","48.24","48.64","47.15","5429405.0"
"79675","20090204","RTX","47.53","1.0","48.27","48.86","47.35","5592862.0"
"79676","20090205","RTX","48.05","1.0","47.23","48.53","46.52","6629584.0"
"79677","20090206","RTX","49.03","1.0","48.17","49.57","47.99","7173736.0"
"79678","20090209","RTX","49.62","1.0","49.09","49.87","48.6","6983142.0"
"79679","20090210","RTX","47.06","1.0","49.25","49.78","46.75","8098375.0"
"79680","20090211","RTX","47.62","1.0","47.26","48.03","47.0","4513112.0"
"79681","20090212","RTX","46.91","1.0","46.6","47.01","45.41","6384201.0"
"79682","20090213","RTX","47.09","1.0","47.14","47.96","46.78","4447089.0"
"79683","20090217","RTX","45.68","1.0","45.97","46.71","45.18","10872990.0"
"79684","20090218","RTX","44.85","1.0","45.75","45.9","44.52","6362301.0"
"79685","20090219","RTX","44.72","1.0","45.2","45.93","44.61","5531644.0"
"79686","20090220","RTX","43.99","1.0","44.03","44.7","43.28","8530896.0"
"79687","20090223","RTX","42.35","1.0","44.14","44.48","42.215","7521985.0"
"79688","20090224","RTX","43.0","1.0","42.37","43.35","41.76","9434671.0"
"79689","20090225","RTX","41.52","1.0","42.66","42.66","41.06","10209820.0"
"79690","20090226","RTX","41.1","1.0","41.75","42.08","41.01","7871593.0"
"79691","20090227","RTX","40.83","1.0","40.61","41.35","40.1","13033000.0"
"79692","20090302","RTX","39.17","1.0","40.23","40.33","39.08","13264460.0"
"79693","20090303","RTX","38.55","1.0","39.48","39.53","38.41","11488040.0"
"79694","20090304","RTX","39.16","1.0","39.17","39.84","38.88","9739889.0"
"79695","20090305","RTX","37.92","1.0","38.09","38.87","37.61","10778050.0"
"79696","20090306","RTX","38.54","1.0","38.24","38.78","37.74","12190210.0"
"79697","20090309","RTX","37.56","1.0","38.03","38.75","37.4","7758952.0"
"79698","20090310","RTX","40.79","1.0","38.29","40.79","37.93","12141500.0"
"79699","20090311","RTX","41.06","1.0","40.85","41.69","40.35","10084730.0"
"79700","20090312","RTX","41.8","1.0","40.82","41.99","40.0","7692375.0"
"79701","20090313","RTX","40.57","1.0","41.46","41.92","40.3","9083190.0"
"79702","20090316","RTX","41.12","1.0","40.89","42.22","40.8","8389112.0"
"79703","20090317","RTX","41.71","1.0","41.2","41.73","40.2","7257521.0"
"79704","20090318","RTX","41.88","1.0","41.49","42.48","40.47","8683542.0"
"79705","20090319","RTX","41.05","1.0","42.27","42.27","40.89","7070353.0"
"79706","20090320","RTX","40.53","1.0","41.61","41.92","40.39","10383830.0"
"79707","20090323","RTX","43.48","1.0","41.36","43.55","41.24","8082489.0"
"79708","20090324","RTX","43.21","1.0","42.96","43.8795","42.83","6323205.0"
"79709","20090325","RTX","43.69","1.0","43.49","44.71","42.72","10556000.0"
"79710","20090326","RTX","45.47","1.0","43.8","45.59","43.56","9179186.0"
"79711","20090327","RTX","44.48","1.0","45.02","45.31","44.28","5513813.0"
"79712","20090330","RTX","42.6","1.0","43.6","43.91","42.14","6530893.0"
"79713","20090331","RTX","42.98","1.0","42.63","43.86","42.6","6440885.0"
"79714","20090401","RTX","43.88","1.0","42.45","44.18","42.06","7209673.0"
"79715","20090402","RTX","45.94","1.0","44.93","46.75","44.69","10199820.0"
"79716","20090403","RTX","45.63","1.0","46.26","46.32","44.95","6503461.0"
"79717","20090406","RTX","46.31","1.0","45.3","46.36","44.63","5578352.0"
"79718","20090407","RTX","45.16","1.0","45.58","46.08","44.9","5858530.0"
"79719","20090408","RTX","44.62","1.0","45.28","45.38","43.89","6731441.0"
"79720","20090409","RTX","47.29","1.0","45.81","47.5","45.74","7791306.0"
"79721","20090413","RTX","46.39","1.0","46.84","46.84","45.54","5075148.0"
"79722","20090414","RTX","45.55","1.0","46.0","46.26","45.17","6044378.0"
"79723","20090415","RTX","46.76","1.0","45.4","47.2","45.31","6050104.0"
"79724","20090416","RTX","47.5","1.0","47.16","47.88","45.97","5616514.0"
"79725","20090417","RTX","47.32","1.0","47.74","48.26","47.28","6684452.0"
"79726","20090420","RTX","45.81","1.0","46.63","46.77","45.5","5878808.0"
"79727","20090421","RTX","47.99","1.0","47.25","48.85","46.99","10765220.0"
"79728","20090422","RTX","46.89","1.0","47.63","48.44","46.84","8221760.0"
"79729","20090423","RTX","48.04","1.0","46.79","48.15","46.26","7998692.0"
"79730","20090424","RTX","49.37","1.0","48.26","49.68","47.84","7693086.0"
"79731","20090427","RTX","48.46","1.0","48.87","49.34","48.16","4781916.0"
"79732","20090428","RTX","47.97","1.0","47.69","48.56","47.34","3581796.0"
"79733","20090429","RTX","48.91","1.0","48.47","49.66","48.15","5533731.0"
"79734","20090430","RTX","48.84","1.0","49.48","50.28","48.52","6544664.0"
"79735","20090501","RTX","49.52","1.0","49.27","49.79","48.66","4491710.0"
"79736","20090504","RTX","51.18","1.0","49.62","51.4","49.62","6930743.0"
"79737","20090505","RTX","51.83","1.0","50.9","51.9","50.9","4930292.0"
"79738","20090506","RTX","52.29","1.0","52.34","52.85","51.51","4989135.0"
"79739","20090507","RTX","51.72","1.0","52.28","52.755","51.2","6311082.0"
"79740","20090508","RTX","53.55","1.0","52.42","53.61","51.03","7321751.0"
"79741","20090511","RTX","52.5","1.0","52.7","53.13","52.11","5335371.0"
"79742","20090512","RTX","52.84","1.0","52.89","53.07","51.74","6522222.0"
"79743","20090513","RTX","50.61","1.0","51.44","51.44","49.87","8058024.0"
"79744","20090514","RTX","51.51","1.0","50.8","52.05","50.75","6667903.0"
"79745","20090515","RTX","51.28","1.0","51.38","51.94","50.92","7094639.0"
"79746","20090518","RTX","52.98","1.0","51.16","53.07","51.16","5976297.0"
"79747","20090519","RTX","52.3","1.0","52.84","53.17","52.21","5573133.0"
"79748","20090520","RTX","51.74","1.0","52.69","52.89","51.59","6125792.0"
"79749","20090521","RTX","50.76","1.0","51.04","51.18","49.9","6161296.0"
"79750","20090522","RTX","51.04","1.0","50.78","51.76","50.52","4294959.0"
"79751","20090526","RTX","52.74","1.0","51.04","53.03","50.64","5314273.0"
"79752","20090527","RTX","51.44","1.0","52.84","53.2","51.43","4974084.0"
"79753","20090528","RTX","52.38","1.0","51.86","52.57","50.95","5002562.0"
"79754","20090529","RTX","52.61","1.0","52.53","52.7","51.73","4778317.0"
"79755","20090601","RTX","55.27","1.0","53.49","55.58","53.21","5964451.0"
"79756","20090602","RTX","55.58","1.0","55.21","55.92","54.67","5477681.0"
"79757","20090603","RTX","54.69","1.0","55.12","55.37","54.2","4971100.0"
"79758","20090604","RTX","55.13","1.0","54.86","55.41","54.67","5098604.0"
"79759","20090605","RTX","56.39","1.0","55.89","56.99","55.86","8450079.0"
"79760","20090608","RTX","56.49","1.0","56.25","56.97","55.28","5247928.0"
"79761","20090609","RTX","55.52","1.0","56.57","56.65","55.09","5877064.0"
"79762","20090610","RTX","55.5","1.0","56.05","56.22","54.55","6008592.0"
"79763","20090611","RTX","55.55","1.0","55.71","56.32","55.32","5110417.0"
"79764","20090612","RTX","55.84","1.0","55.34","55.97","54.77","3611648.0"
"79765","20090615","RTX","54.72","1.0","55.31","55.4","53.97","5762006.0"
"79766","20090616","RTX","54.58","1.0","54.75","55.28","54.35","6048791.0"
"79767","20090617","RTX","54.68","1.0","54.46","55.23","54.35","5595521.0"
"79768","20090618","RTX","54.93","1.0","54.67","55.3","54.56","5410289.0"
"79769","20090619","RTX","54.2","1.0","55.22","55.25","54.03","8405464.0"
"79770","20090622","RTX","52.58","1.0","53.85","53.85","52.32","5677547.0"
"79771","20090623","RTX","51.84","1.0","52.82","52.96","51.65","5483624.0"
"79772","20090624","RTX","50.81","1.0","52.27","52.52","50.44","6480989.0"
"79773","20090625","RTX","52.03","1.0","50.63","52.35","50.54","6110239.0"
"79774","20090626","RTX","51.55","1.0","51.74","52.08","51.19","12306480.0"
"79775","20090629","RTX","52.47","1.0","51.8","52.64","51.7","5107803.0"
"79776","20090630","RTX","51.96","1.0","52.4","52.61","51.15","6995024.0"
"79777","20090701","RTX","52.28","1.0","52.15","52.69","52.035","4670954.0"
"79778","20090702","RTX","50.24","1.0","51.7","51.76","49.9","5516788.0"
"79779","20090706","RTX","50.9","1.0","49.87","50.98","49.33","6282380.0"
"79780","20090707","RTX","49.43","1.0","50.89","50.99","49.38","6278766.0"
"79781","20090708","RTX","49.68","1.0","49.74","50.05","49.01","7001005.0"
"79782","20090709","RTX","49.65","1.0","50.19","50.63","49.49","4338875.0"
"79783","20090710","RTX","49.64","1.0","49.21","49.99","49.0","4803346.0"
"79784","20090713","RTX","51.42","1.0","49.85","51.525","49.61","5656789.0"
"79785","20090714","RTX","51.58","1.0","51.6","51.74","50.87","3613591.0"
"79786","20090715","RTX","53.75","1.0","52.23","53.93","52.02","6637614.0"
"79787","20090716","RTX","53.97","1.0","53.8","54.26","53.0","4160466.0"
"79788","20090717","RTX","53.8","1.0","53.83","53.99","53.24","4435128.0"
"79789","20090720","RTX","54.97","1.0","54.04","55.03","53.95","4399688.0"
"79790","20090721","RTX","53.97","1.0","54.45","54.64","53.55","7383230.0"
"79791","20090722","RTX","53.12","1.0","53.81","54.28","52.91","8030654.0"
"79792","20090723","RTX","53.38","1.0","53.25","53.74","52.64","11176790.0"
"79793","20090724","RTX","52.23","1.0","53.38","53.53","51.85","7665847.0"
"79794","20090727","RTX","52.11","1.0","52.16","52.46","51.72","6083273.0"
"79795","20090728","RTX","52.44","1.0","51.84","52.62","51.6402","5254945.0"
"79796","20090729","RTX","53.2","1.0","52.14","53.34","51.95","4832451.0"
"79797","20090730","RTX","54.23","1.0","53.7","54.99","53.43","7581374.0"
"79798","20090731","RTX","54.47","1.0","54.26","54.83","54.01","5768398.0"
"79799","20090803","RTX","55.18","1.0","54.12","55.38","54.12","6219047.0"
"79800","20090804","RTX","54.79","1.0","55.0","55.36","54.52","6125651.0"
"79801","20090805","RTX","54.22","1.0","54.85","54.94","53.67","4436115.0"
"79802","20090806","RTX","55.06","1.0","54.53","55.26","53.89","6059182.0"
"79803","20090807","RTX","55.59","1.0","55.57","56.0","55.11","5603214.0"
"79804","20090810","RTX","55.89","1.0","55.46","56.43","55.35","4928892.0"
"79805","20090811","RTX","55.77","1.0","55.95","56.02","55.44","5509257.0"
"79806","20090812","RTX","58.17","1.0","55.71","58.795","55.7","8667211.0"
"79807","20090813","RTX","57.4","1.0","58.08","58.12","56.935","5936778.0"
"79808","20090814","RTX","57.21","1.0","57.21","57.68","56.37","4384958.0"
"79809","20090817","RTX","56.13","1.0","56.76","57.0","55.76","5409334.0"
"79810","20090818","RTX","56.81","1.0","56.3","57.13","56.23","3842215.0"
"79811","20090819","RTX","56.0","1.0","55.88","56.62","55.55","6597322.0"
"79812","20090820","RTX","57.26","1.0","55.96","57.26","55.84","5066627.0"
