"H1","datadate","tic","prccd","ajexdi","prcod","prchd","prcld","cshtrd"
"94284","20090102","TRV","45.2","1.0","45.26","45.91","44.13","3279673.0"
"94285","20090105","TRV","44.53","1.0","44.76","45.01","43.3","5171393.0"
"94286","20090106","TRV","43.17","1.0","43.16","44.32","42.72","5138976.0"
"94287","20090107","TRV","41.46","1.0","42.47","43.12","41.21","5189068.0"
"94288","20090108","TRV","42.23","1.0","41.7","42.63","40.97","4012678.0"
"94289","20090109","TRV","41.98","1.0","42.3","42.72","41.57","3578705.0"
"94290","20090112","TRV","41.03","1.0","41.84","42.64","40.6","3964151.0"
"94291","20090113","TRV","41.79","1.0","40.55","42.1","40.27","4377665.0"
"94292","20090114","TRV","40.0","1.0","40.85","41.52","39.69","5199337.0"
"94293","20090115","TRV","39.98","1.0","40.07","40.7","38.29","6465357.0"
"94294","20090116","TRV","41.05","1.0","40.83","41.74","39.59","5471774.0"
"94295","20090120","TRV","38.36","1.0","39.88","42.7","38.36","9069341.0"
"94296","20090121","TRV","40.62","1.0","40.11","40.95","38.53","7560656.0"
"94297","20090122","TRV","38.56","1.0","39.92","40.5","38.41","7340995.0"
"94298","20090123","TRV","37.92","1.0","37.94","38.39","36.74","6145002.0"
"94299","20090126","TRV","37.58","1.0","38.51","39.35","37.17","6193299.0"
"94300","20090127","TRV","39.89","1.0","38.52","40.39","38.04","11452330.0"
"94301","20090128","TRV","41.24","1.0","41.65","41.83","39.61","10284900.0"
"94302","20090129","TRV","39.43","1.0","40.11","40.65","39.23","5802348.0"
"94303","20090130","TRV","38.64","1.0","39.86","40.15","38.19","5699692.0"
"94304","20090202","TRV","38.79","1.0","37.79","39.14","37.35","4101859.0"
"94305","20090203","TRV","39.19","1.0","39.14","39.56","38.64","4209418.0"
"94306","20090204","TRV","38.63","1.0","39.41","39.46","38.38","4688316.0"
"94307","20090205","TRV","38.28","1.0","38.29","38.98","38.12","6211716.0"
"94308","20090206","TRV","39.72","1.0","38.6","39.91","38.49","6492453.0"
"94309","20090209","TRV","40.61","1.0","39.85","40.81","39.59","3824159.0"
"94310","20090210","TRV","38.84","1.0","40.22","40.96","38.59","8352212.0"
"94311","20090211","TRV","40.96","1.0","39.3","41.04","38.83","5936900.0"
"94312","20090212","TRV","41.74","1.0","40.01","41.85","39.78","6369003.0"
