"H1","datadate","tic","prccd","ajexdi","prcod","prchd","prcld","cshtrd"
"8778","20090102","BA","45.25","1.0","42.8","45.56","42.78","7010171.0"
"8779","20090105","BA","46.17","1.0","45.5","46.81","44.8","6917353.0"
"8780","20090106","BA","46.31","1.0","46.85","47.0","45.5","7180778.0"
"8781","20090107","BA","44.76","1.0","45.1","45.61","44.17","6586169.0"
"8782","20090108","BA","44.79","1.0","44.5","44.9","43.88","5476776.0"
"8783","20090109","BA","44.45","1.0","44.8","45.15","43.93","5644942.0"
"8784","20090112","BA","43.74","1.0","44.28","44.45","43.19","4988907.0"
"8785","20090113","BA","42.46","1.0","43.38","43.62","41.8","6359304.0"
"8786","20090114","BA","41.2","1.0","41.88","41.98","40.87","7354895.0"
"8787","20090115","BA","40.96","1.0","41.07","41.6","39.51","8464821.0"
"8788","20090116","BA","42.46","1.0","41.45","43.05","41.04","9310704.0"
"8789","20090120","BA","40.36","1.0","42.08","42.74","40.2","9590414.0"
"8790","20090121","BA","42.27","1.0","40.75","42.4","40.0","6933013.0"
"8791","20090122","BA","42.26","1.0","41.73","42.75","41.17","6590741.0"
"8792","20090123","BA","41.98","1.0","40.91","42.84","40.91","5755506.0"
"8793","20090126","BA","43.01","1.0","42.46","43.77","42.06","4659186.0"
"8794","20090127","BA","43.22","1.0","43.29","43.96","42.88","5218829.0"
"8795","20090128","BA","43.24","1.0","43.47","44.4","42.76","8070961.0"
"8796","20090129","BA","40.71","1.0","42.76","42.76","40.37","8441360.0"
"8797","20090130","BA","42.31","1.0","40.76","42.49","40.63","9098244.0"
"8798","20090202","BA","40.8","1.0","41.73","41.73","40.11","8076632.0"
"8799","20090203","BA","42.09","1.0","41.45","42.43","40.76","7221234.0"
"8800","20090204","BA","41.97","1.0","42.12","42.97","41.69","6729177.0"
"8801","20090205","BA","42.72","1.0","41.75","43.11","40.62","9021007.0"
"8802","20090206","BA","42.92","1.0","42.52","43.67","42.25","6334157.0"
"8803","20090209","BA","42.8","1.0","42.8","43.42","42.44","5087800.0"
"8804","20090210","BA","40.21","1.0","41.29","42.23","40.02","9999165.0"
"8805","20090211","BA","40.33","1.0","40.51","40.76","39.86","6519292.0"
"8806","20090212","BA","39.86","1.0","39.58","39.99","38.58","6028812.0"
"8807","20090213","BA","40.48","1.0","39.89","41.19","39.89","5483456.0"
"8808","20090217","BA","38.43","1.0","39.49","39.7436","38.3","6949373.0"
"8809","20090218","BA","37.98","1.0","38.77","38.77","37.76","6324425.0"
"8810","20090219","BA","37.57","1.0","38.24","38.7","37.42","5467193.0"
"8811","20090220","BA","36.31","1.0","36.73","37.2","35.32","10598820.0"
"8812","20090223","BA","34.46","1.0","36.73","36.79","34.35","9519248.0"
"8813","20090224","BA","35.44","1.0","34.44","35.8326","33.8906","10815810.0"
"8814","20090225","BA","33.91","1.0","35.27","35.27","33.22","11646920.0"
"8815","20090226","BA","32.71","1.0","34.5","34.62","32.64","8771896.0"
"8816","20090227","BA","31.44","1.0","32.3","32.37","31.4","11787420.0"
"8817","20090302","BA","29.51","1.0","30.96","31.0","29.32","13956310.0"
"8818","20090303","BA","29.36","1.0","29.7","30.11","29.05","10424190.0"
"8819","20090304","BA","30.31","1.0","29.86","30.78","29.11","11627390.0"
